"";"price";"room_type";"minimum_nights";"reviews_per_month";"neighbourhood_group";"neighbourhood";"within1km";"within5km"
"1214";45;"Private room";4;0,47;"Brooklyn";"Bushwick";72;1220
"1215";177;"Entire home/apt";4;2,22;"Brooklyn";"Bedford-Stuyvesant";80;2362
"1216";60;"Private room";2;0,32;"Queens";"Jamaica";6;98
"1217";60;"Private room";3;0,05;"Brooklyn";"Williamsburg";205;2145
"1218";139;"Entire home/apt";2;2,57;"Brooklyn";"Williamsburg";147;2229
"1219";190;"Entire home/apt";30;NA;"Manhattan";"Hell's Kitchen";156;1445
"1220";115;"Entire home/apt";1;0,03;"Brooklyn";"Greenpoint";110;2385
"1221";220;"Entire home/apt";30;NA;"Manhattan";"Midtown";105;2073
"1222";75;"Private room";1;5,28;"Manhattan";"Upper West Side";127;1113
"1223";10000;"Entire home/apt";5;0,16;"Brooklyn";"Greenpoint";68;2390
"1224";108;"Entire home/apt";3;0,05;"Manhattan";"East Harlem";82;1308
"1225";59;"Private room";2;3;"Manhattan";"Hell's Kitchen";177;1626
"1226";76;"Private room";1;0,86;"Queens";"Long Island City";33;2211
"1227";290;"Entire home/apt";4;1,25;"Brooklyn";"Williamsburg";78;2493
"1228";52;"Entire home/apt";7;0,19;"Queens";"Ridgewood";66;1313
"1229";33;"Private room";4;0,41;"Staten Island";"Arrochar";5;31
"1230";220;"Entire home/apt";1;0,22;"Queens";"East Elmhurst";13;289
"1231";80;"Private room";10;0,3;"Brooklyn";"Williamsburg";153;2115
"1232";65;"Private room";1;3,5;"Brooklyn";"Bedford-Stuyvesant";147;1624
"1233";64;"Private room";2;3,78;"Manhattan";"Harlem";120;681
"1234";99;"Entire home/apt";2;1,36;"Brooklyn";"Fort Hamilton";4;91
"1235";35;"Shared room";30;NA;"Brooklyn";"Williamsburg";158;2024
"1236";65;"Private room";6;0,42;"Manhattan";"Harlem";154;911
"1237";120;"Private room";2;5,22;"Queens";"Astoria";73;901
"1238";40;"Private room";2;0,12;"Brooklyn";"Bedford-Stuyvesant";171;1805
"1239";250;"Entire home/apt";3;1,94;"Brooklyn";"Bedford-Stuyvesant";169;1798
"1240";54;"Private room";2;0,48;"Brooklyn";"Midwood";6;281
"1241";127;"Entire home/apt";180;0,03;"Brooklyn";"Sunset Park";57;878
"1242";250;"Entire home/apt";3;0,43;"Manhattan";"Washington Heights";83;624
"1243";165;"Entire home/apt";1;0,9;"Manhattan";"Chelsea";151;1758
"1244";65;"Shared room";10;0,38;"Manhattan";"East Village";214;2300
"1245";55;"Private room";2;0,18;"Brooklyn";"Crown Heights";68;1582
"1246";79;"Private room";1;0,08;"Manhattan";"Upper East Side";108;1691
"1247";50;"Private room";1;NA;"Manhattan";"East Harlem";85;1135
"1248";85;"Private room";2;NA;"Brooklyn";"Crown Heights";141;1791
"1249";450;"Entire home/apt";3;1,19;"Brooklyn";"Fort Greene";91;2163
"1250";175;"Entire home/apt";3;2,5;"Brooklyn";"Flatbush";42;717
"1251";190;"Entire home/apt";3;0,79;"Manhattan";"Lower East Side";236;2242
"1252";200;"Entire home/apt";7;0,41;"Manhattan";"West Village";160;1704
"1253";60;"Private room";3;0,67;"Bronx";"Highbridge";23;637
"1254";900;"Entire home/apt";1;NA;"Manhattan";"SoHo";191;1843
"1255";280;"Entire home/apt";3;0,55;"Manhattan";"Tribeca";76;1394
"1256";125;"Private room";2;2,17;"Queens";"Forest Hills";2;183
"1257";150;"Entire home/apt";30;0,27;"Manhattan";"Little Italy";230;1979
"1258";180;"Entire home/apt";2;1,36;"Brooklyn";"Williamsburg";249;2509
"1259";100;"Private room";6;NA;"Manhattan";"Harlem";148;941
"1260";65;"Private room";2;0,05;"Manhattan";"Harlem";123;697
"1261";89;"Entire home/apt";2;NA;"Brooklyn";"Crown Heights";115;1635
"1262";145;"Entire home/apt";3;0,97;"Manhattan";"Harlem";150;1031
"1263";70;"Private room";5;0,29;"Queens";"Woodside";23;556
"1264";45;"Shared room";1;NA;"Brooklyn";"Clinton Hill";145;2281
"1265";65;"Private room";1;NA;"Manhattan";"Morningside Heights";135;925
"1266";3210;"Private room";1;NA;"Manhattan";"Chelsea";86;1549
"1267";97;"Private room";2;2,38;"Brooklyn";"Park Slope";80;1667
"1268";350;"Entire home/apt";3;NA;"Manhattan";"West Village";158;1641
"1269";90;"Private room";1;2,26;"Queens";"Ridgewood";49;1200
"1270";96;"Private room";3;0,02;"Brooklyn";"Crown Heights";105;1638
"1271";250;"Entire home/apt";3;1,42;"Manhattan";"Lower East Side";233;2035
"1272";40;"Private room";5;0,49;"Brooklyn";"South Slope";63;1041
"1273";40;"Private room";3;0,09;"Manhattan";"Washington Heights";32;337
"1274";169;"Entire home/apt";5;0,83;"Brooklyn";"Williamsburg";268;2313
"1275";60;"Private room";1;2,07;"Brooklyn";"Sunset Park";16;523
"1276";50;"Private room";3;NA;"Brooklyn";"Bushwick";173;1647
"1277";95;"Private room";1;NA;"Brooklyn";"Williamsburg";142;1830
"1278";68;"Private room";10;0,1;"Manhattan";"Harlem";140;1028
"1279";184;"Entire home/apt";30;0,61;"Manhattan";"East Village";226;2306
"1280";210;"Entire home/apt";5;0,05;"Brooklyn";"Kensington";27;766
"1281";80;"Entire home/apt";5;0,35;"Queens";"Astoria";79;807
"1282";100;"Entire home/apt";4;2,66;"Brooklyn";"Bedford-Stuyvesant";171;1795
"1283";155;"Entire home/apt";3;3,16;"Brooklyn";"Bedford-Stuyvesant";141;2047
"1284";195;"Entire home/apt";3;0,13;"Manhattan";"Upper West Side";104;1145
"1285";42;"Private room";1;0,57;"Queens";"Flushing";11;82
"1286";70;"Private room";30;0,16;"Manhattan";"Murray Hill";158;2065
"1287";349;"Private room";1;0,36;"Queens";"Long Island City";25;2135
"1288";150;"Entire home/apt";30;NA;"Manhattan";"Upper West Side";70;1271
"1289";325;"Entire home/apt";4;0,12;"Manhattan";"Chelsea";91;1553
"1290";165;"Entire home/apt";4;4,03;"Brooklyn";"Bedford-Stuyvesant";166;1892
"1291";35;"Private room";5;0,18;"Brooklyn";"Bushwick";153;1551
"1292";159;"Entire home/apt";6;0,31;"Manhattan";"East Village";220;2187
"1293";150;"Entire home/apt";4;0,31;"Manhattan";"SoHo";184;1826
"1294";86;"Private room";2;0,19;"Brooklyn";"Bedford-Stuyvesant";146;1878
"1295";55;"Private room";3;NA;"Brooklyn";"Williamsburg";268;2555
"1296";180;"Shared room";1;NA;"Manhattan";"Chelsea";95;1518
"1297";99;"Entire home/apt";1;NA;"Brooklyn";"Crown Heights";109;1616
"1298";130;"Entire home/apt";30;1;"Manhattan";"Midtown";110;1938
"1299";52;"Private room";7;0,13;"Manhattan";"Harlem";100;730
"1300";299;"Entire home/apt";2;0,99;"Manhattan";"East Village";322;2102
"1301";60;"Private room";1;0,08;"Brooklyn";"Bedford-Stuyvesant";166;1834
"1302";140;"Entire home/apt";3;0,48;"Brooklyn";"Bushwick";160;1733
"1303";170;"Entire home/apt";2;2,67;"Brooklyn";"Sunset Park";52;933
"1304";200;"Entire home/apt";30;NA;"Manhattan";"East Harlem";91;1135
"1305";125;"Entire home/apt";14;0,41;"Brooklyn";"Navy Yard";44;2308
"1306";38;"Private room";1;2,34;"Bronx";"Allerton";4;106
"1307";254;"Entire home/apt";2;0,34;"Manhattan";"Murray Hill";162;2054
"1308";225;"Entire home/apt";2;0,16;"Manhattan";"Lower East Side";63;2342
"1309";295;"Entire home/apt";2;0,11;"Brooklyn";"Crown Heights";132;1970
"1310";105;"Entire home/apt";30;0,04;"Manhattan";"Midtown";121;2090
"1311";40;"Private room";1;1,1;"Brooklyn";"Prospect Heights";133;2058
"1312";450;"Entire home/apt";3;3,37;"Manhattan";"East Village";228;2096
"1313";89;"Private room";1;0,59;"Brooklyn";"East Flatbush";30;1315
"1314";135;"Private room";1;NA;"Queens";"Briarwood";11;131
"1315";59;"Entire home/apt";2;5,05;"Manhattan";"East Village";302;2154
"1316";75;"Private room";5;NA;"Queens";"Astoria";53;1176
"1317";200;"Entire home/apt";4;0,38;"Queens";"Maspeth";4;956
"1318";140;"Entire home/apt";15;NA;"Queens";"Ditmars Steinway";32;738
"1319";120;"Private room";2;NA;"Manhattan";"Hell's Kitchen";220;1650
"1320";125;"Private room";1;0,05;"Manhattan";"East Village";253;2036
"1321";74;"Private room";2;NA;"Manhattan";"Lower East Side";221;2198
"1322";199;"Entire home/apt";2;1,96;"Brooklyn";"Williamsburg";144;1984
"1323";99;"Entire home/apt";2;0,11;"Brooklyn";"Bushwick";159;1577
"1324";75;"Private room";3;0,15;"Brooklyn";"Bedford-Stuyvesant";90;1499
"1325";300;"Entire home/apt";30;0,07;"Manhattan";"Upper West Side";122;1150
"1326";55;"Private room";7;NA;"Brooklyn";"Bedford-Stuyvesant";140;2026
"1327";325;"Entire home/apt";5;0,07;"Brooklyn";"Williamsburg";236;2466
"1328";45;"Private room";1;3,63;"Brooklyn";"Bushwick";71;1204
"1329";500;"Entire home/apt";26;0,19;"Brooklyn";"Williamsburg";222;2494
"1330";170;"Entire home/apt";2;0,38;"Brooklyn";"Park Slope";79;1516
"1331";85;"Entire home/apt";3;0,23;"Brooklyn";"South Slope";69;1099
"1332";100;"Private room";1;NA;"Queens";"Ozone Park";5;120
"1333";80;"Private room";1;0,05;"Manhattan";"Washington Heights";85;615
"1334";48;"Private room";1;2,22;"Brooklyn";"Bay Ridge";17;191
"1335";250;"Entire home/apt";2;0,85;"Brooklyn";"Downtown Brooklyn";32;2176
"1336";96;"Private room";1;3,27;"Brooklyn";"Williamsburg";291;2533
"1337";95;"Entire home/apt";3;2;"Brooklyn";"Kensington";47;795
"1338";90;"Private room";3;2;"Manhattan";"Lower East Side";296;2117
"1339";100;"Private room";1;0,46;"Brooklyn";"Greenpoint";148;2331
"1340";125;"Entire home/apt";2;NA;"Brooklyn";"Brooklyn Heights";13;1937
"1341";1500;"Private room";4;0,18;"Manhattan";"East Harlem";136;976
"1342";75;"Private room";1;0,52;"Brooklyn";"Bushwick";94;1272
"1343";79;"Private room";1;0,03;"Manhattan";"Hell's Kitchen";222;1580
"1344";180;"Entire home/apt";3;0,13;"Brooklyn";"Park Slope";78;1642
"1345";80;"Private room";1;4,36;"Manhattan";"Harlem";130;869
"1346";48;"Private room";1;5,04;"Brooklyn";"Bedford-Stuyvesant";184;1950
"1347";280;"Entire home/apt";30;NA;"Manhattan";"Murray Hill";155;2090
"1348";70;"Private room";1;4,25;"Queens";"Sunnyside";25;1502
"1349";426;"Entire home/apt";30;NA;"Manhattan";"Tribeca";91;1646
"1350";102;"Entire home/apt";13;0,33;"Brooklyn";"Clinton Hill";74;2361
"1351";209;"Private room";1;3,07;"Brooklyn";"Williamsburg";170;2190
"1352";250;"Entire home/apt";365;NA;"Manhattan";"Gramercy";186;1997
"1353";200;"Private room";1;0,05;"Manhattan";"Hell's Kitchen";189;1553
"1354";34;"Private room";30;0,41;"Queens";"Glendale";21;1008
"1355";80;"Private room";5;1,23;"Manhattan";"East Harlem";86;1091
"1356";40;"Private room";2;2,69;"Brooklyn";"Greenpoint";85;2185
"1357";145;"Entire home/apt";5;NA;"Brooklyn";"Park Slope";84;1663
"1358";175;"Private room";1;2,89;"Manhattan";"East Village";202;2316
"1359";29;"Shared room";30;0,14;"Brooklyn";"Bushwick";62;1207
"1360";499;"Entire home/apt";3;1,5;"Manhattan";"Chelsea";91;1508
"1361";95;"Private room";4;1,01;"Brooklyn";"Bedford-Stuyvesant";145;2043
"1362";203;"Entire home/apt";2;0,67;"Manhattan";"Financial District";91;1325
"1363";120;"Private room";1;0,89;"Manhattan";"Lower East Side";269;2194
"1364";149;"Entire home/apt";7;0,12;"Manhattan";"Chinatown";184;2053
"1365";45;"Private room";2;0,25;"Brooklyn";"Bedford-Stuyvesant";165;1886
"1366";85;"Entire home/apt";2;1,91;"Staten Island";"Dongan Hills";0;17
"1367";149;"Entire home/apt";3;3;"Queens";"Long Island City";49;1096
"1368";249;"Entire home/apt";1;1,25;"Manhattan";"East Harlem";91;1208
"1369";1200;"Entire home/apt";1;NA;"Manhattan";"Midtown";123;1819
"1370";60;"Private room";1;0,05;"Brooklyn";"Bedford-Stuyvesant";167;2002
"1371";390;"Entire home/apt";5;NA;"Brooklyn";"Windsor Terrace";26;960
"1372";60;"Private room";1;0,49;"Brooklyn";"Canarsie";8;128
"1373";179;"Entire home/apt";3;4;"Manhattan";"Upper East Side";103;1483
"1374";200;"Entire home/apt";1;5,17;"Manhattan";"Hell's Kitchen";227;1607
"1375";200;"Private room";2;NA;"Manhattan";"Upper East Side";111;1466
"1376";65;"Entire home/apt";7;NA;"Brooklyn";"Midwood";8;288
"1377";140;"Private room";1;NA;"Bronx";"Claremont Village";7;444
"1378";275;"Entire home/apt";3;0,66;"Manhattan";"Nolita";271;2000
"1379";265;"Entire home/apt";31;0,3;"Manhattan";"Upper East Side";104;1413
"1380";239;"Entire home/apt";30;NA;"Manhattan";"Midtown";171;1646
"1381";40;"Private room";7;1,95;"Brooklyn";"East New York";5;802
"1382";185;"Private room";1;3,9;"Manhattan";"Chinatown";202;1955
"1383";85;"Private room";2;0,23;"Manhattan";"Harlem";137;1052
"1384";75;"Private room";3;0,74;"Brooklyn";"Bushwick";79;1297
"1385";150;"Entire home/apt";2;0,48;"Brooklyn";"Williamsburg";168;2193
"1386";250;"Entire home/apt";3;0,32;"Brooklyn";"Bedford-Stuyvesant";157;1869
"1387";165;"Entire home/apt";4;0,8;"Manhattan";"East Village";231;2258
"1388";98;"Private room";1;1,25;"Manhattan";"Chelsea";127;1586
"1389";135;"Entire home/apt";30;NA;"Manhattan";"Upper West Side";76;1345
"1390";140;"Entire home/apt";2;0,47;"Queens";"Ditmars Steinway";64;819
"1391";95;"Private room";3;0,11;"Queens";"Long Island City";26;1945
"1392";60;"Private room";3;0,05;"Manhattan";"Upper West Side";68;1165
"1393";178;"Entire home/apt";30;0,12;"Manhattan";"Financial District";95;1285
"1394";220;"Entire home/apt";3;0,5;"Manhattan";"Upper East Side";79;1365
"1395";150;"Entire home/apt";30;NA;"Manhattan";"Kips Bay";146;2087
"1396";230;"Entire home/apt";2;1,09;"Manhattan";"Hell's Kitchen";187;1581
"1397";80;"Private room";5;0,35;"Manhattan";"Harlem";83;718
"1398";88;"Private room";1;NA;"Queens";"Rosedale";1;31
"1399";169;"Entire home/apt";1;1,51;"Manhattan";"Hell's Kitchen";171;1604
"1400";80;"Private room";1;2;"Manhattan";"Harlem";95;690
"1401";70;"Private room";4;0,05;"Manhattan";"East Village";275;2172
"1402";135;"Entire home/apt";14;1;"Manhattan";"Murray Hill";164;2064
"1403";118;"Entire home/apt";3;3,21;"Brooklyn";"Bedford-Stuyvesant";143;1704
"1404";130;"Entire home/apt";8;0,14;"Brooklyn";"Greenpoint";178;2395
"1405";60;"Private room";1;6,9;"Manhattan";"East Harlem";76;1207
"1406";70;"Private room";3;0,53;"Brooklyn";"Bedford-Stuyvesant";121;1545
"1407";39;"Private room";1;2,28;"Queens";"Ditmars Steinway";27;742
"1408";150;"Private room";1;0,05;"Manhattan";"Hell's Kitchen";185;1541
"1409";107;"Entire home/apt";7;2,07;"Queens";"Ditmars Steinway";55;681
"1410";190;"Entire home/apt";15;NA;"Manhattan";"West Village";162;1696
"1411";150;"Entire home/apt";2;0,59;"Brooklyn";"Williamsburg";161;2489
"1412";3000;"Entire home/apt";7;1;"Manhattan";"SoHo";146;1705
"1413";70;"Private room";3;0,6;"Brooklyn";"Williamsburg";199;2280
"1414";85;"Private room";1;0,62;"Manhattan";"Harlem";117;778
"1415";55;"Private room";1;4,78;"Brooklyn";"Bedford-Stuyvesant";102;1339
"1416";300;"Entire home/apt";1;5,87;"Manhattan";"Lower East Side";303;2163
"1417";134;"Entire home/apt";3;0,04;"Manhattan";"Chelsea";99;1553
"1418";95;"Entire home/apt";2;0,11;"Manhattan";"Harlem";141;885
"1419";399;"Entire home/apt";1;NA;"Brooklyn";"Greenpoint";64;2368
"1420";120;"Private room";1;NA;"Brooklyn";"Crown Heights";49;1529
"1421";50;"Private room";2;1;"Brooklyn";"Flatbush";35;757
"1422";80;"Private room";1;NA;"Manhattan";"Financial District";97;1609
"1423";150;"Entire home/apt";5;0,26;"Manhattan";"Harlem";130;921
"1424";50;"Private room";2;1,51;"Manhattan";"Harlem";112;788
"1425";100;"Private room";2;NA;"Manhattan";"Harlem";63;746
"1426";85;"Private room";3;NA;"Bronx";"Kingsbridge";4;101
"1427";700;"Entire home/apt";2;0,5;"Manhattan";"West Village";166;1647
"1428";200;"Entire home/apt";2;1;"Brooklyn";"Greenpoint";91;2150
"1429";150;"Entire home/apt";3;NA;"Brooklyn";"Bushwick";63;1184
"1430";55;"Private room";3;3,75;"Queens";"Long Island City";20;1443
"1431";250;"Entire home/apt";29;NA;"Manhattan";"Chelsea";157;1802
"1432";70;"Private room";30;NA;"Brooklyn";"Gowanus";72;1715
"1433";400;"Entire home/apt";6;0,1;"Brooklyn";"Cobble Hill";47;1478
"1434";28;"Shared room";1;2;"Bronx";"Port Morris";53;891
"1435";59;"Private room";3;0,09;"Queens";"Fresh Meadows";7;95
"1436";77;"Entire home/apt";2;3;"Brooklyn";"Flatbush";30;671
"1437";125;"Entire home/apt";2;3,67;"Brooklyn";"Bedford-Stuyvesant";165;1828
"1438";120;"Entire home/apt";1;NA;"Manhattan";"Hell's Kitchen";198;1493
"1439";150;"Entire home/apt";1;NA;"Manhattan";"Upper East Side";105;1519
"1440";25;"Private room";5;1,23;"Brooklyn";"Bensonhurst";4;177
"1441";100;"Entire home/apt";7;0,58;"Brooklyn";"Williamsburg";150;1944
"1442";105;"Entire home/apt";2;0,85;"Brooklyn";"Brighton Beach";7;45
"1443";300;"Private room";30;NA;"Manhattan";"Midtown";153;1813
"1444";100;"Entire home/apt";1;1,65;"Brooklyn";"Bushwick";172;1632
"1445";318;"Entire home/apt";5;0,32;"Brooklyn";"Williamsburg";189;2519
"1446";198;"Entire home/apt";2;1,01;"Brooklyn";"Bedford-Stuyvesant";130;2082
"1447";60;"Private room";1;NA;"Queens";"Maspeth";9;593
"1448";109;"Private room";1;2,33;"Manhattan";"Financial District";95;1341
"1449";80;"Private room";7;NA;"Queens";"Astoria";74;832
"1450";70;"Entire home/apt";24;NA;"Queens";"Maspeth";5;1329
"1451";150;"Entire home/apt";4;2,66;"Queens";"Ozone Park";6;110
"1452";80;"Entire home/apt";1;NA;"Brooklyn";"Red Hook";25;941
"1453";70;"Private room";1;1,66;"Brooklyn";"Greenpoint";124;2165
"1454";200;"Private room";1;0,52;"Manhattan";"Morningside Heights";120;984
"1455";60;"Private room";1;3,53;"Brooklyn";"Bedford-Stuyvesant";87;1519
"1456";398;"Entire home/apt";4;1,28;"Queens";"Jamaica Estates";0;110
"1457";95;"Private room";1;0,25;"Manhattan";"Upper East Side";108;1630
"1458";75;"Private room";2;0,68;"Queens";"Arverne";6;20
"1459";200;"Entire home/apt";1;0,21;"Brooklyn";"Prospect-Lefferts Gardens";99;1358
"1460";120;"Entire home/apt";30;0,09;"Manhattan";"Murray Hill";171;1996
"1461";210;"Private room";1;0,22;"Manhattan";"Hell's Kitchen";226;1588
"1462";250;"Entire home/apt";2;0,63;"Manhattan";"West Village";149;1607
"1463";90;"Private room";2;0,63;"Brooklyn";"Williamsburg";201;2139
"1464";39;"Shared room";1;NA;"Queens";"Arverne";2;20
"1465";150;"Entire home/apt";26;0,36;"Manhattan";"West Village";159;1641
"1466";150;"Entire home/apt";5;0,49;"Brooklyn";"Greenpoint";58;2330
"1467";300;"Entire home/apt";4;NA;"Queens";"Astoria";50;654
"1468";70;"Private room";2;1,45;"Brooklyn";"Bushwick";180;1732
"1469";250;"Entire home/apt";1;NA;"Brooklyn";"Williamsburg";279;2548
"1470";151;"Entire home/apt";2;4,21;"Queens";"Bayswater";2;20
"1471";139;"Entire home/apt";1;2,79;"Manhattan";"Morningside Heights";109;870
"1472";500;"Entire home/apt";2;NA;"Manhattan";"Nolita";250;2002
"1473";400;"Entire home/apt";30;NA;"Manhattan";"SoHo";160;1821
"1474";125;"Private room";1;0,16;"Brooklyn";"Bushwick";145;1580
"1475";170;"Entire home/apt";4;0,24;"Manhattan";"Gramercy";210;2042
"1476";200;"Entire home/apt";4;0,53;"Staten Island";"Concord";2;42
"1477";395;"Entire home/apt";14;0,45;"Manhattan";"Upper West Side";74;1258
"1478";300;"Entire home/apt";1;NA;"Brooklyn";"Gowanus";58;972
"1479";1200;"Entire home/apt";2;0,7;"Manhattan";"Gramercy";162;1962
"1480";345;"Entire home/apt";2;3,24;"Brooklyn";"Williamsburg";279;2562
"1481";40;"Private room";30;NA;"Brooklyn";"Crown Heights";35;1381
"1482";300;"Entire home/apt";180;NA;"Manhattan";"Battery Park City";80;1150
"1483";120;"Entire home/apt";2;1;"Brooklyn";"Canarsie";1;292
"1484";85;"Private room";3;0,15;"Brooklyn";"Gowanus";94;1814
"1485";35;"Private room";2;NA;"Brooklyn";"Williamsburg";184;2277
"1486";200;"Entire home/apt";2;0,09;"Brooklyn";"Bedford-Stuyvesant";152;1915
"1487";28;"Shared room";1;2,65;"Bronx";"Port Morris";34;879
"1488";152;"Entire home/apt";30;0,05;"Manhattan";"Upper East Side";103;1943
"1489";399;"Entire home/apt";7;1,28;"Manhattan";"East Village";239;2249
"1490";650;"Entire home/apt";1;5,41;"Brooklyn";"Bedford-Stuyvesant";161;1830
"1491";60;"Private room";2;1,77;"Manhattan";"Harlem";98;831
"1492";150;"Entire home/apt";4;0,21;"Manhattan";"Harlem";159;914
"1493";75;"Private room";2;1,46;"Manhattan";"East Harlem";75;1229
"1494";55;"Private room";1;0,1;"Brooklyn";"Crown Heights";101;1552
"1495";35;"Private room";7;NA;"Queens";"Ridgewood";63;1363
"1496";50;"Private room";7;0,44;"Queens";"Jamaica";5;61
"1497";60;"Private room";1;2,14;"Queens";"Ditmars Steinway";52;889
"1498";220;"Private room";1;0,61;"Queens";"Ditmars Steinway";6;418
"1499";199;"Private room";1;NA;"Manhattan";"Chelsea";144;1735
"1500";170;"Entire home/apt";4;3,09;"Manhattan";"Midtown";175;1939
"1501";202;"Entire home/apt";1;NA;"Manhattan";"Upper East Side";108;1588
"1502";89;"Entire home/apt";1;0,11;"Manhattan";"East Harlem";122;914
"1503";80;"Entire home/apt";5;0,16;"Brooklyn";"Bushwick";111;1452
"1504";80;"Private room";1;0,65;"Brooklyn";"Williamsburg";200;2181
"1505";420;"Entire home/apt";5;4,48;"Manhattan";"Hell's Kitchen";218;1618
"1506";125;"Entire home/apt";1;0,22;"Queens";"Jamaica";4;80
"1507";120;"Entire home/apt";4;0,24;"Brooklyn";"Williamsburg";245;2504
"1508";50;"Private room";20;NA;"Manhattan";"Harlem";108;711
"1509";145;"Entire home/apt";29;0,42;"Manhattan";"Financial District";93;1459
"1510";105;"Private room";2;0,09;"Manhattan";"Hell's Kitchen";187;1578
"1511";119;"Entire home/apt";1;0,45;"Manhattan";"Hell's Kitchen";224;1582
"1512";55;"Private room";1;NA;"Brooklyn";"Bedford-Stuyvesant";178;1733
"1513";80;"Private room";5;0,73;"Manhattan";"Lower East Side";284;2074
"1514";45;"Shared room";2;NA;"Brooklyn";"Crown Heights";72;1557
"1515";275;"Private room";2;0,92;"Brooklyn";"Bedford-Stuyvesant";113;2339
"1516";58;"Private room";21;0,04;"Manhattan";"East Harlem";92;1110
"1517";70;"Entire home/apt";2;0,61;"Brooklyn";"Crown Heights";48;1285
"1518";425;"Private room";1;NA;"Manhattan";"West Village";136;1570
"1519";98;"Private room";7;1,22;"Manhattan";"Harlem";150;921
"1520";350;"Entire home/apt";2;0,82;"Brooklyn";"Williamsburg";163;2455
"1521";121;"Entire home/apt";1;2,28;"Queens";"Queens Village";5;52
"1522";250;"Entire home/apt";1;NA;"Brooklyn";"Williamsburg";231;2285
"1523";68;"Entire home/apt";2;0,54;"Brooklyn";"Crown Heights";148;1792
"1524";175;"Entire home/apt";2;4;"Brooklyn";"Prospect-Lefferts Gardens";94;1372
"1525";125;"Private room";1;NA;"Manhattan";"Murray Hill";177;1973
"1526";105;"Private room";1;4,24;"Manhattan";"Murray Hill";158;2069
"1527";30;"Private room";3;0,45;"Bronx";"Tremont";1;248
"1528";23;"Private room";3;0,11;"Brooklyn";"Bedford-Stuyvesant";177;1792
"1529";140;"Entire home/apt";3;1,33;"Queens";"Ditmars Steinway";9;459
"1530";150;"Private room";2;3,46;"Manhattan";"Hell's Kitchen";218;1600
"1531";185;"Entire home/apt";1;0,06;"Brooklyn";"Greenpoint";76;2426
"1532";100;"Private room";1;NA;"Manhattan";"Theater District";187;1664
"1533";378;"Entire home/apt";3;0,85;"Brooklyn";"Williamsburg";227;2566
"1534";145;"Entire home/apt";3;0,32;"Brooklyn";"Bedford-Stuyvesant";182;1713
"1535";40;"Private room";2;0,74;"Brooklyn";"Prospect-Lefferts Gardens";57;1307
"1536";110;"Entire home/apt";7;0,05;"Manhattan";"Morningside Heights";59;816
"1537";150;"Entire home/apt";2;3,52;"Queens";"Jamaica";2;97
"1538";100;"Entire home/apt";1;1,34;"Manhattan";"East Harlem";79;1220
"1539";42;"Private room";30;NA;"Brooklyn";"Bedford-Stuyvesant";153;1711
"1540";61;"Private room";10;0,09;"Brooklyn";"Greenpoint";64;2372
"1541";37;"Private room";1;NA;"Queens";"Sunnyside";30;876
"1542";80;"Private room";1;0,06;"Brooklyn";"Williamsburg";231;2511
"1543";650;"Entire home/apt";2;0,04;"Manhattan";"Harlem";126;927
"1544";140;"Private room";1;0,04;"Brooklyn";"Crown Heights";44;1411
"1545";200;"Entire home/apt";30;0,07;"Manhattan";"Upper East Side";98;1779
"1546";99;"Entire home/apt";3;0,28;"Brooklyn";"Bedford-Stuyvesant";157;2080
"1547";65;"Private room";1;1,37;"Staten Island";"Arrochar";4;22
"1548";450;"Entire home/apt";1;NA;"Manhattan";"East Village";270;2245
"1549";165;"Entire home/apt";1;1;"Manhattan";"Upper East Side";115;1581
"1550";225;"Entire home/apt";6;0,16;"Brooklyn";"Williamsburg";224;2269
"1551";30;"Shared room";2;0,55;"Brooklyn";"Prospect-Lefferts Gardens";61;1346
"1552";195;"Private room";1;1;"Manhattan";"Upper West Side";58;1304
"1553";48;"Private room";30;1;"Brooklyn";"Fort Greene";52;2332
"1554";75;"Private room";2;0,26;"Manhattan";"Upper West Side";103;1022
"1555";110;"Private room";3;0,62;"Manhattan";"Upper West Side";122;1126
"1556";35;"Shared room";1;1,89;"Brooklyn";"Bedford-Stuyvesant";71;1283
"1557";130;"Entire home/apt";4;NA;"Brooklyn";"Bushwick";122;1547
"1558";199;"Entire home/apt";480;NA;"Queens";"Long Island City";17;2195
"1559";59;"Private room";2;1,77;"Brooklyn";"Williamsburg";212;2376
"1560";250;"Entire home/apt";2;2,26;"Manhattan";"Gramercy";167;2087
"1561";70;"Private room";2;0,03;"Brooklyn";"Borough Park";10;499
"1562";175;"Entire home/apt";2;4,16;"Manhattan";"Upper East Side";104;1418
"1563";209;"Entire home/apt";1;NA;"Manhattan";"Hell's Kitchen";198;1554
"1564";224;"Entire home/apt";4;0,99;"Manhattan";"Harlem";150;966
"1565";250;"Entire home/apt";5;0,27;"Manhattan";"Upper West Side";105;1061
"1566";59;"Private room";1;0,02;"Manhattan";"Hell's Kitchen";207;1587
"1567";150;"Entire home/apt";4;0,03;"Brooklyn";"Bushwick";130;1423
"1568";96;"Shared room";10;0,11;"Manhattan";"Hell's Kitchen";211;1590
"1569";180;"Entire home/apt";14;0,36;"Brooklyn";"Williamsburg";131;2409
"1570";65;"Private room";1;1,73;"Brooklyn";"Borough Park";11;331
"1571";120;"Entire home/apt";3;0,28;"Brooklyn";"Flatbush";77;1080
